Field,date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,597486,Seeds & Nuts Protein Laddu by Artinci,1314715,220,249,True,2,False,https://cdn.grofers.com/da/cms-assets/cms/product/f4740bc2-a4bc-4207-8adc-e99164cd60be.png,,Artinci
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,41969,580393,Sattu & Jaggery Laddu Box by Two Brothers,1223724,387,429,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/45eddd04-f6f6-456f-9877-e82551a0192a.png,,Two Brothers
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,557096,Motichoor Laddu by Amul,1013776,105,110,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/838af0a1-f175-4eac-95f4-5b9cc574e8a3.png,,Amul
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,612096,Ghee Dry Fruits Boondi Laddu by Lal,1464278,175,175,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/6aeb05cd-75a9-4b49-9f3a-6757a9538b4a.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,650443,Gud Imli Laddu by Jaggic,1990186,180,180,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/19bd7118-f7aa-448e-bda8-f6f5ccac77cf.png,,Jaggic
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,478077,Milk Cake by Lal,661581,146,159,True,5,False,https://cdn.grofers.com/da/cms-assets/cms/product/a9ec9e54-ab1b-47cd-8b52-07c886eaeb1e.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,659399,Mango Mysore Pak by Sweet Karam Coffee,2062809,139,149,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/fd9901b0-61ee-4f22-aa6d-b19989c30a7c.png,,Sweet Karam Coffee
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,673887,Patisa by Gulab,2131622,138,220,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/fcddea3a-ff9a-4a93-ba46-e30ef090230b.png,,Gulab
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,612831,Kesar Peda by GO DESI,1547619,142,160,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/bb68a5dc-39e7-4a24-8298-5ea882bc9a43.png,,GO DESI
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,487671,Dharwad Peda by Lal,661647,136,140,True,8,False,https://cdn.grofers.com/da/cms-assets/cms/product/0fffc274-2464-4afb-9225-358a0b2b40f3.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,512668,Kesar Peda by Lal,704697,150,150,True,2,False,https://cdn.grofers.com/da/cms-assets/cms/product/5ae8a8cb-cb60-4512-8324-a1a9cf0f0679.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,349695,Ras Malai (Frozen) by Amul,762255,227,250,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/1909b77d-a970-4e53-8df4-3627464fa997.png,,Amul
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,554124,Shakkar Para by Daadi's,911099,105,120,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/9f47fd2a-7a9e-43a4-9725-dbea5bd32733.png,,Daadi's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,485445,Premium Soan Papdi by Bikano,661621,163,280,True,5,False,https://cdn.grofers.com/da/cms-assets/cms/product/eb0f2163-d3ee-40de-bc8f-45f34c787690.png,,Bikano
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,392310,Cow Ghee Soan Papdi by Haldiram's,661484,208,340,True,8,False,https://cdn.grofers.com/da/cms-assets/cms/product/9d70873a-0b72-4a22-90d5-fe3ae0ffee40.png,,Haldiram's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,91117,Manbhawan Soan Papdi by Bikaji,661437,126,135,True,4,False,https://cdn.grofers.com/da/cms-assets/cms/product/a2f5918e-3534-4d67-bc32-0cf2ae4874a3.png,,Bikaji
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,519118,Farmley Date & Dry Fruit Bites (No Added Sugar),2149523,34,40,True,25,False,https://cdn.grofers.com/da/cms-assets/cms/product/0f441178-d002-491a-972b-0195fc859d3d.png,,Farmley
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,538987,Jaggic Gur Chana,1340767,117,150,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/fc2bf06f-5548-48d0-a254-96e6651fe84a.png,,Jaggic
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,609406,Farmley Dark Choco Orange Date Bites Dessert,2149514,34,40,True,7,False,https://cdn.grofers.com/da/cms-assets/cms/product/c9d95f95-7d7d-49e2-9530-12b1471355e7.png,,Farmley
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,540410,Wonderland Foods Date and Dry Fruits Bites Delight,2149509,249,499,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/1d2b2ce5-66f7-4824-aa1f-13ca8cd89e0f.png,,Wonderland Foods
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,660470,Wonderland Foods Dates & Dry Fruits Bites,2067933,28,40,True,2,False,https://cdn.grofers.com/da/cms-assets/cms/product/088ddaa5-2849-4309-b399-8448b355c52f.png,,Wonderland Foods
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,650241,Farmley Apple Pie Date Bites,1986229,348,400,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/4364c1bd-d1d4-40f5-9e06-c1f65798bd9b.png,,Farmley
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,606852,Farmley Dark Choco Orange Date Bites Dessert,2149512,346,400,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/7c4f2765-a480-4ac8-aa81-e3668c14a015.png,,Farmley
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,523571,Rabri by Amul,1890314,25,25,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/7632ccac-a2c6-4bad-ae08-dbfe0a52235f.png,,Amul
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,567569,Rajgeera Ladoo by Chheda's,1110809,37,60,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/15a8cfa7-57ea-490d-b722-0dbe9278eff8.png,,Chheda's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,520006,Motichoor Ghee Laddu by Daadi's,744767,148,170,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/4b9ebd6f-d36d-488c-851d-e5875350748f.png,,Daadi's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,554143,Ghee Mysore Pak by Daadi's,880179,158,180,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/91422141-0cdb-482c-acd4-204ea8d97dcb.png,,Daadi's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,563202,Jaggery Coconut Burfi by Sweet Karam Coffee,1077053,187,199,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/67ba8e3e-eebf-4335-b74d-d82e342888ff.png,,Sweet Karam Coffee
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,553989,Peanut Chocolate No Added Sugar Laddu by Eat Better Co,1057934,289,299,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/d82f10e0-2c42-4e5d-8d75-4e526c558da8.png,,Eat Better Co
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,570848,Ragi Laddu by Sweet Karam Coffee,1203837,147,159,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/d118202b-9003-4925-858a-5f969e4f1fb7.png,,Sweet Karam Coffee
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,470497,Karachi Halwa by Gulab,661542,144,265,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/6191668d-6f3d-4f06-9963-d7472575bd1e.png,,Gulab
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,587052,Dry Fruit Chikki by GO DESI,1242296,42,45,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/076b9088-bf76-4a78-abe4-f914b12aa312.png,,GO DESI
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,401204,Family Pack Chikki by paper boat,818176,39,42,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/f4ce507c-5c95-4829-9c7d-d2f59e91e649.png,,paper boat
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,532393,Sesame Chikki Box 24 Mantra Organic,837112,90,100,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/aaadc6dd-c619-4e1b-9d0f-9344f01d4856.png,,24 Mantra Organic
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,528731,Channa Burfi by Gulab,749714,195,330,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/1dba1e23-9c8a-4671-b259-b4fcf3f52bfe.png,,Gulab
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,524674,Gur Pare by Gulab,1793906,109,115,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/49dd9f63-e7d3-4066-9013-dfe89c6bec80.png,,Gulab
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,554146,Dharwad Peda by Daadi's,880182,148,170,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/fe640d6b-f72b-4f76-b602-51016bc6865d.png,,Daadi's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,529364,Sweet Rasgulla by Lal,751159,216,220,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/ed716390-5daf-4581-830c-b8f7e550776c.png,,Lal
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,476220,Panjeeri Burfi by Haldiram's,661549,283,350,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/058db6db-3615-4981-83ca-6abfc8ec1ad5.png,,Haldiram's
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,477771,Baklava by Oasis Baklawa,732544,395,395,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/8af939e3-c0a7-43a7-b33d-99440d5e7381.png,,Oasis Baklawa
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,408382,Mango Burfi by Chitale,668918,233,235,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/9c87bc12-ba20-4eb4-b475-14e6554c9bf9.png,,Chitale
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,536247,Peanut Chikki 24 Mantra Organic - Pack of 2,837111,172,200,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/9b7ba7c0-d428-4fc6-9033-ef4da5cbbe35.png,,24 Mantra Organic
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,567349,Milk Burfi by Sweet Karam Coffee - Pack of 3,1055723,507,597,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/b28c7be2-2aa0-4c81-ae92-c976568a417e.png,,Sweet Karam Coffee
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,559376,Swaadesi No Added Sugar Dodha Burfi by Unibic,1089540,174,299,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/976dcded-c9cd-4c83-bb6f-1ebb8be0f9f3.png,,Unibic
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,671734,Sweet Karam Coffee Original Ghee Mysore Pak by  + Jaggery Coconut Burfi by Combo,2119766,282,348,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/200609be-6156-409c-8434-94addb141110.png,,
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,674783,Multigrain Laddu by Equisential,2135111,175,225,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/abb76654-eca8-4964-a127-abec1cdb6966.png,,Equisential
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,30303,674797,Chocolate Hazelnut Laddu by Equisential,2138528,185,225,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/0f75d7fa-6e4b-44ac-906d-5146a1c5575c.png,,Equisential
,2025-08-04,Sweet Tooth,9,Indian Sweets,943,37740,675794,Besan Laddu by Chheda's,2148227,75,90,True,0,False,https://cdn.grofers.com/da/cms-assets/cms/product/02be741b-d674-4b72-83c7-dacb8c660db5.png,,Chheda's
